SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,,
Fis-34053,10606,Callionymus,superbus,Proud dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,
Fis-34055,10609,Callionymus,whiteheadi,Whitehead’s deepwater dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,
Fis-34056,10610,Callionymus,meridionalis,Whiteflag dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,
Fis-167298,10621,Ostorhinchus,nigrocincta,Blackbelt cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-27876,10644,Lophiodes,gracilimanus,,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,,
Fis-34096,10681,Glyptophidium,macropus,,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-34109,10705,Synodus,usitatus,,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,
Fis-34129,10729,Lumiconger,arafura,Luminous conger,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,
Fis-168353,10739,Scalicus,investigatoris,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Peristediidae,,
Fis-34136,10746,Gymnapogon,japonicus,,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-27910,10747,Batrachomoeus,trispinosus,Three-spined frogfish,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-143215,10786,Centropyge,aurantia,Golden angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-27929,10792,Conocara,microlepis,Elongate smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-27933,10797,Thamnaconus,arenaceus,Sandy filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,,
Fis-159582,10804,Glaucostegus,halavi,Halavi ray,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,,
Fis-34196,10882,Chaetodontoplus,ballinae,Ballina angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-27991,10896,Genicanthus,semicinctus,Halfbanded angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34217,10938,Apolemichthys,xanthopunctatus,Goldspotted angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34254,10982,Centropyge,hotumatua,Blackear angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-166181,10990,Centropyge,interrupta,Japanese angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34261,10997,Centropyge,joculator,Yellowhead angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34344,11119,Chaetodontoplus,chrysocephalus,Orangeface angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34362,11158,Genicanthus,spinus,Pitcairn angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,
Fis-34440,11263,Talismania,mekistonema,Threadfin smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-34474,11305,Barbantus,elongatus,,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-34593,11432,Maulisia,acuticeps,Sharpsnout tubeshoulder,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-34641,11485,Monognathus,ahlstromi,Paddletail onejaw,Animalia,Chordata,Actinopterygii,Saccopharyngiformes,Monognathidae,,
Fis-28153,11622,Halichoeres,solorensis,Green wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-14464,11660,Gobius,bontii,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-34780,11700,Anguilla,nebulosa,Mottled eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,,
Fis-150557,11731,Porocottus,mednius,Pored sculpin,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,
Fis-34808,11748,Eustomias,kreffti,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34814,11754,Eustomias,melanostigma,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34816,11756,Eustomias,patulus,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34853,11825,Abudefduf,natalensis,Natal sergeant,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34861,11838,Amphiprion,chagosensis,Chagos anemonefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34862,11839,Amphiprion,chrysogaster,Mauritian anemonefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34864,11842,Amphiprion,fuscocaudatus,Seychelles anemonefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34866,11844,Amphiprion,latifasciatus,Madagascar anemonefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34869,11848,Azurina,eupalama,Galapagos damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34870,11849,Azurina,hirundo,Swallow damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34871,11850,Chromis,abyssicola,Deepsea chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34872,11851,Chromis,albomaculata,White-spotted chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34873,11852,Chromis,alleni,Allen's chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34874,11853,Chromis,alta,Oval damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28228,11854,Chromis,axillaris,Grey chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34875,11856,Amphiprion,omanensis,Oman anemonefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-34878,11865,Chromis,intercrusma,Peruvian chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28283,11968,Chrysiptera,niger,Black damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28284,11969,Chrysiptera,rapanui,Easter damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,High,
Fis-113288,12015,Phthanophaneron,harveyi,Gulf flashlightfish,Animalia,Chordata,Actinopterygii,Beryciformes,Anomalopidae,,
Fis-34961,12024,Sanopus,splendidus,Coral toadfish,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-35006,12134,Lipogramma,flavescens,Yellow basslet,Animalia,Chordata,Actinopterygii,Perciformes,Grammatidae,,
Fis-114945,12137,Lipogramma,rosea,Rosy basslet,Animalia,Chordata,Actinopterygii,Perciformes,Grammatidae,,
Fis-17275,12364,Pentaceros,wheeleri,Slender armorhead,Animalia,Chordata,Actinopterygii,Perciformes,Pentacerotidae,,
Fis-35154,12409,Apogon,mosavi,Dwarf cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-35165,12426,Chromis,okamurai,Okinawa chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35166,12428,Chromis,pelloura,Duskytail chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35169,12431,Chromis,scotochiloptera,Philippines chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35179,12449,Chrysiptera,sinclairi,Sinclair's demoisselle,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28515,12454,Phenacoscorpius,nebris,Short-tube scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-35180,12456,Microspathodon,frontatus,Guinean damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35181,12457,Neoglyphidodon,crossi,Cross' damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35184,12465,Parma,alboscapularis,Black scalyfin,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35185,12467,Parma,bicolor,Bicolor scalyfin,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35186,12468,Parma,kermadecensis,Kermadec scalyfin,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35191,12475,Plectroglyphidodon,randalli,Mauritian damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-149753,12477,Pomacentrus,agassizii,Creole damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35194,12478,Pomacentrus,albicaudatus,Whitefin damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35195,12479,Pomacentrus,alleni,Andaman damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35197,12481,Pomacentrus,arabicus,Arabian damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35203,12487,Pomacentrus,colini,Colin's damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35206,12491,Pomacentrus,javanicus,Java damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35211,12497,Pomacentrus,pikei,Blacklip damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35212,12498,Pomacentrus,polyspinus,Thai damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35220,12506,Pomacentrus,xanthosternus,Yellowbreasted damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-35221,12507,Pristotis,cyanostigma,Bluedotted damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28531,12515,Stegastes,otophorus,Freshwater gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28534,12518,Stegastes,rocasensis,Rocas gregory,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-28536,12521,Chrysiptera,bleekeri,Bleeker's damsel,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-162910,12530,Roa,jayakari,Indian golden-barred butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,
Fis-17443,12531,Roa,excelsa,Hawaiian gold-barred butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,
Fis-167275,12565,Ostorhinchus,atrogaster,Blackbelly cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-28551,12573,Owstonia,pectinifer,Comb bandfish,Animalia,Chordata,Actinopterygii,Perciformes,Cepolidae,,
Fis-35261,12581,Bathyraja,andriashevi,Little-eyed skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,,
Fis-35262,12582,Bathyraja,tzinovskii,Creamback skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,,
Fis-28553,12584,Himantura,undulata,Leopard whipray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,,
Fis-35268,12601,Cantherhines,verecundus,Shy filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,,
Fis-35269,12605,Scorpaenopsis,brevifrons,Bigmouth scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-35271,12607,Valenciennea,bella,Bella goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-35275,12612,Valenciennea,persica,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-35296,12646,Chaetodon,daedalma,Wrought iron butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,
Fis-35297,12648,Chaetodon,smithi,Smith's butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,
Fis-35299,12653,Pseudochromis,pesi,Pale dottyback,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,,
Fis-170329,12659,Ostorhinchus,norfolcensis,Norfolk cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-35316,12692,Ecsenius,bathi,Bath's comb-tooth,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,
Fis-28587,12693,Cirrhitops,hubbardi,,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,,
Fis-28589,12699,Amblyeleotris,sungami,Magnus' prawn-goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-28611,12748,Cryptocentrus,caeruleopunctatus,Harlequin prawn-goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-137821,12758,Helcogramma,vulcana,Volcano triplefin,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,,
Fis-21236,12771,Dunckerocampus,baldwini,Redstripe pipefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,,
Fis-60386,12776,Pseudanthias,taeniatus,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-28632,12798,Plectranthias,gardineri,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35372,12820,Upeneus,francisi,Francis' goatfish,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,,
Fis-28638,12824,Priolepis,boreus,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-35378,12830,Hoplolatilus,luteus,Yellow tilefish,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,,
Fis-35380,12832,Hoplolatilus,fourmanoiri,Yellow-spotted tilefish,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,,
Fis-149524,12844,Siphonognathus,caninis,Sharpnose weed whiting,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,,
Fis-35386,12846,Siphonognathus,tanyourus,Longtail weed whiting,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,,
Fis-28648,12847,Liopropoma,swalesi,Swales' basslet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-28652,12852,Pelates,octolineatus,Western striped trumpeter,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,,
Fis-35390,12863,Liopropoma,lemniscatum,Ribbon basslet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35394,12869,Liopropoma,tonstrinum,Redstriped basslet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-28663,12872,Luzonichthys,microlepis,Slender splitfin,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35397,12873,Luzonichthys,taeniatus,Striped splitfin,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35398,12875,Luzonichthys,williamsi,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35402,12879,Cheilodipterus,parazonatus,Mimic cardinal,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-35404,12881,Cheilodipterus,pygmaios,,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-35415,12909,Aplodactylus,punctatus,,Animalia,Chordata,Actinopterygii,Perciformes,Aplodactylidae,,
Fis-28684,12916,Sphoeroides,angusticeps,Narrow-headed puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-28697,12937,Gobiomorphus,gobioides,Giant bully,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,,
Fis-28709,12966,Cypselurus,simus,Short-nosed flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-28716,12979,Hydrolagus,barbouri,,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,,
Fis-28723,13000,Liza,haematocheila,So-iuy mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-28735,13022,Plectranthias,anthioides,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35462,13042,Cirrhilabrus,rubripinnis,Redfin wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-35463,13046,Oxymetopon,compressus,Robust ribbongoby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,,
Fis-35464,13047,Oxymetopon,cyanoctenosum,Blue-barred ribbon goby,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,,
Fis-35466,13049,Meiacanthus,vittatus,One-striped fangblenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,
Fis-28751,13057,Sebastes,baramenuke,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,,
Fis-28754,13061,Sebastes,iracundus,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,,
Fis-28758,13066,Agonomalus,proboscidalis,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,,
Fis-35471,13067,Lepidotrigla,sayademalha,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-35472,13068,Foetorepus,masudai,Masuda’s dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,
Fis-28764,13076,Takifugu,radiatus,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-28766,13079,Takifugu,exascurus,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-21777,13136,Macropharyngodon,cyanoguttatus,,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-168160,13137,Macropharyngodon,marisrubri,,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-161073,13144,Zearaja,nasuta,New Zealand rough skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,,
Fis-35513,13191,Mobula,munkiana,Munk's devil ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,,
Fis-28825,13208,Bathyraja,spinosissima,Spiny skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,,
Fis-131850,13209,Amblyraja,badia,Broad skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,,
Fis-28887,13440,Trinectes,fluviatilis,Freshwater sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,,
Fis-156316,13471,Ariopsis,guatemalensis,Blue sea catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,,
Fis-35561,13506,Selenanthias,myersi,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-142472,13530,Filimanus,heptadactyla,Sevenfinger threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,,
Fis-140587,13546,Daector,schmitti,Schmitt's toadfish,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-35578,13551,Porichthys,mimeticus,Mimetic midshipman,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-35582,13561,Monolene,dubiosa,Acapulco flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,,
Fis-28928,13601,Heteroconger,digueti,Cortez garden eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,
Fis-151399,13608,Paraconger,similis,Shorttail conger,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,
Fis-165597,13623,Ariosoma,prorigerum,Slope conger,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,
Fis-35595,13640,Symphurus,diabolicus,Devil's tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-35605,13654,Symphurus,varius,Mottled tonguefish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-35624,13747,Meiacanthus,luteus,Yellow fangbelly,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,
Fis-28970,13758,Spicara,nigricauda,Blacktail picarel,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,,
Fis-35640,13791,Uropterygius,polystictus,Peppered moray,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,,
Fis-35644,13807,Serranus,sanctaehelenae,St. Helena comber,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-28989,13810,Sphoeroides,marmoratus,Guinean puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-35648,13827,Pseudorhombus,micrognathus,,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,
Fis-29002,13881,Coryphaenoides,boops,Shortsnout grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-29003,13882,Coryphaenoides,bucephalus,Narrowsnout grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-29004,13886,Coryphaenoides,bulbiceps,Large-eye grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-29006,13898,Apterichtus,equatorialis,Equatorial eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-35664,13902,Callechelys,cliffi,Sandy ridgefin eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-124168,13903,Callechelys,eristigma,Spotted ridgefin eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-35673,13919,Phaenomonas,pinnata,Elastic eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-35676,13922,Pseudomyrophis,micropinna,Plain worm eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-29013,13924,Quassiremus,nothochir,Smallfish snake-eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-29015,13930,Lepophidium,microlepis,Silver cusk eel,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-35678,13938,Ophidion,iris,Rainbow cusk eel,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-29033,13991,Ophioscion,imiceps,Blinkard croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-29035,13994,Odontoscion,eurymesops,Galapagos croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-35707,14027,Cynoscion,nannus,Dwarf weakfish,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-29049,14035,Allenichthys,glauerti,Glauert's anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,,
Fis-35709,14039,Echinophryne,crassispina,Prickly anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,,
Fis-29059,14075,Pareques,perissa,Odd highhat,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-35724,14085,Stellifer,mancorensis,Smooth stardrum,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-29063,14087,Stellifer,minor,Minor stardrum,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-49263,14105,Ctenosciaena,peruviana,Peruvian barbel drum,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-29068,14115,Astroscopus,sexspinosus,Brazilian stargazer,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,,
Fis-29083,14197,Sebastes,sinensis,Blackmouth rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,,
Fis-29091,14228,Sebastes,cortezi,Cortez rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,,
Fis-35789,14260,Prionotus,teaguei,Long-ray searobin,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-162929,14281,Manonichthys,polynemus,Longfin dottyback,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,,
Fis-35823,14364,Neenchelys,buitendijki,Fintail serpent eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-35835,14399,Polysteganus,baissaci,Frenchman seabream,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,,
Fis-35836,14401,Bodianus,insularis,Island hogfish,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-165325,14432,Xenocephalus,innotabilis,Bulldog stargazer,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,,
Fis-29166,14514,Eleutheronema,tridactylum,Threefinger threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,,
Fis-29168,14518,Filimanus,sealei,Eightfinger threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,,
Fis-35892,14661,Ecsenius,paroculus,Spottedback coralblenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,
Fis-29200,14685,Gymnothorax,marshallensis,Marshall Islands moray,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,,
Fis-170335,14820,Ostorhinchus,pallidofasciatus,Palestriped cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-167306,14822,Ostorhinchus,rueppellii,Gobbleguts,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-162365,14890,Siphamia,guttulata,Speckled siphonfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-163623,14902,Apogonichthyoides,chrysurus,Golden cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-35914,14906,Vincentia,macrocauda,Smooth cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-29214,14908,Vincentia,novaehollandiae,Eastern gobbleguts,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-162927,15007,Manonichthys,paranox,Midnight dottyback,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,,
Fis-162933,15015,Oxycercichthys,veliferus,Sailfin dottyback,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae,,
Fis-35945,15040,Acanthistius,paxtoni,Orangelined wirrah,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-29243,15087,Atherinomorus,lineatus,Lined silverside,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,,
Fis-35957,15114,Plectranthias,megalophthalmus,Citron perchlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-35967,15150,Antipodocottus,galatheae,Galathea sculpin,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,
Fis-29255,15154,Perryena,leucometopon,Whitenose pigfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Perryenidae,,
Fis-35974,15169,Pseudomugil,inconspicuus,Inconspicuous blue-eye,Animalia,Chordata,Actinopterygii,Atheriniformes,Pseudomugilidae,,
Fis-35977,15182,Samaris,macrolepis,Large-scale crested righteye flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Samaridae,,
Fis-29258,15188,Cetichthys,indagator,,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-34946,15191,Samariscus,nielseni,Nielsen's righteye flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Samaridae,,
Fis-35981,15199,Danacetichthys,galathenus,,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-35982,15202,Rhamphocetichthys,savagei,Savage's birdsnouted whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-47004,15208,Grammoplites,knappi,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,,
